id mostra,depuradora,        MS2(CG/L),        N2(CG/L),        N1(CG/L),        Adenovirus humans(CG/L),        E(CG/L),        N1r(CG/L),        N2r(CG/L),        Control intern(CG/L),        TGEV(CG/L),        IP4(CG/L),        Mengovirus(CG/L),        Diana4(CG/L),        Control inTGEV(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual,
DBER-2020-09-14,BERGA,,,249710,,,,,,2140000,36449,,,,4707.71,0,,false,
DBER-2020-09-21,BERGA,,,128350,,,,,,1300500,83781,,,,5705.52,70,,false,
DBER-2020-09-28,BERGA,,,644680,,,,,,2121200,1262600,,,,4779.59,0,,false,
DBER-2020-10-05,BERGA,,,677400,,,,,,1593000,423490,,,,,,,false,
DBER-2020-10-12,BERGA,,,912180,,,,,,3498300,471680,,,,4603.73,0,,false,
DBLN-2020-07-13,BLANES,2097500,,13133,1788.4,342.86,,,,,,,,,9386,0,,false,
DBLN-2020-07-28,BLANES,1267200,1794.3,2863.8,18883,,,,,,,,,,,,,false,
DBLN-2020-08-10,BLANES,6434600,2360.1,46423,11787,,,,,,,,,,10808,0,,false,
DBLN-2020-08-24,BLANES,9359500,11688,1494.7,25510,,,,,,,,,,10118,0,,false,
DBLN-2020-09-07,BLANES,7681900,27056,27119,14920,,,,,,,,,,9704,0,,false,
DBLN-2020-09-21,BLANES,29935000,1063.9,3878.6,71010,,,,,,,,,,9425,24.8,,false,
DBLN-2020-10-05,BLANES,1272100,8987,4946.8,,,,,,,,,,,7950,0,,false,
DBSS-2020-07-06,BESÒS,15301000,,826.38,22723,685.71,,,,,,,,,327029,0,,false,
DBSS-2020-07-13,BESÒS,5888700,,25521,18706,14630,,,,,,,,,317575,0.3,,false,
DBSS-2020-07-20,BESÒS,47658,130170,53820,156360,,,,,,,,,,324759,0,,false,
DBSS-2020-07-28,BESÒS,476880,26401,30673,15624,,,,,,,,,,,,,false,
DBSS-2020-08-03,BESÒS,50811000,6291.3,45800,74830,,,,,,,,,,331372,9.6,,false,
DBSS-2020-08-10,BESÒS,9975600,199620,198070,14764,,,,,,,,,,281022,0,,false,
DBSS-2020-08-17,BESÒS,32554000,73651,166370,32560,,,,,,,,,,281533,0,,false,
DBSS-2020-08-24,BESÒS,50789000,48076,162230,42526,,,,,,,,,,294440,0,,false,
DBSS-2020-08-31,BESÒS,17030000,12819,73204,3190.8,,,,,,,,,,474624,7.2,,false,
DBSS-2020-09-07,BESÒS,19158000,63454,240190,17676,,,,,,,,,,0,7.2,,false,
DBSS-2020-09-14,BESÒS,11121000,6419.2,34936,21080,,,,,,,,,,0,0,,false,
DBSS-2020-09-21,BESÒS,87975000000000,15603,6806.8,32636,,,,,,,,,,491723.4,25.9,,false,
DBSS-2020-09-28,BESÒS,2690200,44808,16665,,,,,,,,,,,0,0,,false,
