id mostra,depuradora,N1(CG/L),N2(CG/L),IP4(CG/L),E(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual
DAIT-2021-08-02,AITONA,8577,643,,,325,0,,false
DAIT-2021-08-09,AITONA,294894,73814,,,337,0,,false
DAIT-2021-08-16,AITONA,38340,30557,,,276,0,,false
DAIT-2021-08-23,AITONA,111366,20345,,,286,0,,false
DAIT-2021-08-30,AITONA,39362,2274,,,302,0,,false
DALC-2021-05-03,ALCARRÀS,64788,9858,,,543,0,,false
DALC-2021-05-10,ALCARRÀS,15585,4598,,,526,0,,false
DALC-2021-05-17,ALCARRÀS,1475,10933,,,504,0,,false
DALC-2021-05-24,ALCARRÀS,256,847,,,486,0,,false
DALC-2021-05-31,ALCARRÀS,565,565,,,487,0,,false
DALC-2021-06-07,ALCARRÀS,200,200,,,531,0,,false
DALC-2021-06-14,ALCARRÀS,200,6066,,,479,0,,false
DALC-2021-06-21,ALCARRÀS,200,200,,,489,0,,false
DALC-2021-06-28,ALCARRÀS,200,200,,,575,0,,false
DALC-2021-07-05,ALCARRÀS,29079,683,,,484,0,,false
DALC-2021-07-12,ALCARRÀS,89120,45178,,,605,0,Canvi metodològic,false
DALC-2021-07-19,ALCARRÀS,10041,368,,,534,0,,false
DALC-2021-07-26,ALCARRÀS,9910,6334,,,682,0,,false
DALC-2021-08-02,ALCARRÀS,650,593,,,609,0,,false
DALC-2021-08-09,ALCARRÀS,181932,136730,,,585,0,,false
DALC-2021-08-16,ALCARRÀS,8657,11937,,,594,0,,false
DALC-2021-08-23,ALCARRÀS,892716,187742,,,546,0,,false
DALC-2021-08-30,ALCARRÀS,3203,631,,,556,0,,false
DAMP-2020-07-06,AMPOSTA,450,,,450,8918,0,,false
DAMP-2020-07-13,AMPOSTA,450,,,450,7616,0,,false
DAMP-2020-07-20,AMPOSTA,420,,,420,6264,0,,false
DAMP-2020-08-03,AMPOSTA,3613,480,,,4850,0,Valor Puntual,false
DAMP-2020-08-10,AMPOSTA,30,30,,,4187,0,,false
DAMP-2020-08-17,AMPOSTA,360,360,,360,4033,0,,false
DAMP-2020-08-24,AMPOSTA,450,450,,450,4115,0,,false
DAMP-2020-08-31,AMPOSTA,350,350,,,3822,0,,false
DAMP-2020-09-14,AMPOSTA,226,214,,,3798,0,,true
DAMP-2020-09-21,AMPOSTA,7450,143,,,3707,0,,false
DAMP-2020-09-28,AMPOSTA,744,1346,,,3537,0,,false
DAMP-2020-10-05,AMPOSTA,165326,60994,,,3619,0,,false
DAMP-2020-10-12,AMPOSTA,52949,27059,,,3630,0,,false
DAMP-2020-10-19,AMPOSTA,3185,119505,,,3376,0,,false
DAMP-2020-10-26,AMPOSTA,133198,88169,,,3897,0,,false
DAMP-2020-11-02,AMPOSTA,46755,123486,,,3061,0,,false
DAMP-2020-11-09,AMPOSTA,76478,334634,,,3505,,,false
DAMP-2020-11-16,AMPOSTA,82213,79883,,,3168,0,,false
DAMP-2020-11-23,AMPOSTA,167853,141152,,,5089,0,,false
DAMP-2020-11-30,AMPOSTA,27315,18089,,,3350,0,,false
DAMP-2020-12-08,AMPOSTA,297,143,,,3051,0,,true
DAMP-2020-12-14,AMPOSTA,25657,56704,,,3061,0,,false
DAMP-2020-12-21,AMPOSTA,143,143,,,3118,0,No detectat confirmat (dues analítiques),false
DAMP-2020-12-28,AMPOSTA,56036,55270,,,3236,0,,false
DAMP-2021-01-04,AMPOSTA,133290,112035,,,3333,0,,false
DAMP-2021-01-11,AMPOSTA,230657,321126,,,3212,0,,false
DAMP-2021-01-18,AMPOSTA,45704,82808,,,3165,0,,false
DAMP-2021-01-25,AMPOSTA,51518,20294,,,3163,0,,false
DAMP-2021-02-01,AMPOSTA,2048,15822,,,3246,0,,false
DAMP-2021-02-08,AMPOSTA,17015,1991,,,3303,0,,false
DAMP-2021-02-15,AMPOSTA,8965,143,,,3517,0,,false
DAMP-2021-02-23,AMPOSTA,15018,171,,,,,,false
DAMP-2021-03-01,AMPOSTA,143,2143,,,3067,0,,false
DAMP-2021-03-08,AMPOSTA,768,171,,,5473,0,,false
DAMP-2021-03-15,AMPOSTA,507,143,,,3076,0,,true
DAMP-2021-03-22,AMPOSTA,171,171,,,3093,0,,false
DAMP-2021-03-29,AMPOSTA,464,464,,,3046,0,,false
DAMP-2021-04-05,AMPOSTA,43740,22817,,,3037,0,,false
DAMP-2021-04-12,AMPOSTA,37981,32261,,,3224,0,,false
DAMP-2021-04-19,AMPOSTA,7086,868,,,3744,0,,false
DAMP-2021-04-26,AMPOSTA,14151,1595,,,5552,0,,false
DAMP-2021-05-03,AMPOSTA,36695,3420,,,4198,0,,false
DAMP-2021-05-10,AMPOSTA,200,200,,,4957,0,,false
DAMP-2021-05-17,AMPOSTA,1729,5288,,,3740,0,,false
DAMP-2021-05-24,AMPOSTA,2612,10397,,,4037,0,,false
DAMP-2021-05-31,AMPOSTA,250,250,,,3916,0,,false
DAMP-2021-06-07,AMPOSTA,2443,2253,,,4061,0,,false
DAMP-2021-06-14,AMPOSTA,6527,200,,,3629,0,,false
DAMP-2021-06-21,AMPOSTA,200,2187,,,502,0,,true
DAMP-2021-06-28,AMPOSTA,3896,16979,,,3707,0,,false
DAMP-2021-07-05,AMPOSTA,4016,2087,,,3630,0,,false
DAMP-2021-07-12,AMPOSTA,13691,2035,,,3599,0,Canvi metodològic,false
DAMP-2021-07-19,AMPOSTA,68946,46511,,,3727,0,,false
DAMP-2021-07-26,AMPOSTA,14724,32615,,,5605,0,,false
DAMP-2021-08-02,AMPOSTA,19431,6555,,,3910,0,,false
DAMP-2021-08-09,AMPOSTA,26588,10011,,,4138,0,,false
DAMP-2021-08-16,AMPOSTA,3634,312,,,4246,0,,false
DAMP-2021-08-23,AMPOSTA,61306,312,,,5104,0,,false
DAMP-2021-08-30,AMPOSTA,13792,15361,,,4356,0,,false
DAMP-2021-09-06,AMPOSTA,848,336,,,4118,0,,true
