id mostra,depuradora,LD(CG/L),N1(CG/L),N2(CG/L),IP4(CG/L),E(CG/L),Cabal últimes 24h(m3),Pluja(mm),Observacions,Valor puntual
DAMP-2020-08-03,AMPOSTA,480,3613,480,,,4850,0,Valor Puntual,false
DAMP-2020-08-10,AMPOSTA,30,30,30,,,4187,0,,false
DAMP-2020-08-17,AMPOSTA,360,360,360,,360,4033,0,,false
DAMP-2020-08-24,AMPOSTA,450,450,450,,450,4115,0,,false
DAMP-2020-08-31,AMPOSTA,350,350,350,,,3822,0,,false
DAMP-2020-09-14,AMPOSTA,214,226,214,,,3798,0,,true
DAMP-2020-09-21,AMPOSTA,143,7450,143,,,3707,0,,false
DAMP-2020-09-28,AMPOSTA,171,744,1346,,,3537,0,,false
DAMP-2020-10-05,AMPOSTA,171,165326,60994,,,3619,0,,false
DAMP-2020-10-12,AMPOSTA,171,52949,27059,,,3630,0,,false
DAMP-2020-10-19,AMPOSTA,171,3185,119505,,,3376,0,,false
DAMP-2020-10-26,AMPOSTA,171,133198,88169,,,3897,0,,false
DAMP-2020-11-02,AMPOSTA,171,46755,123486,,,3061,0,,false
DAMP-2020-11-09,AMPOSTA,814,76478,334634,,,3505,,,false
DAMP-2020-11-16,AMPOSTA,171,82213,79883,,,3168,0,,false
DAMP-2020-11-23,AMPOSTA,364,167853,141152,,,5089,0,,false
DAMP-2020-11-30,AMPOSTA,171,27315,18089,,,3350,0,,false
DAMP-2020-12-08,AMPOSTA,143,297,143,,,3051,0,,true
DAMP-2020-12-14,AMPOSTA,358,25657,56704,,,3061,0,,false
DAMP-2020-12-21,AMPOSTA,143,143,143,,,3118,0,No detectat confirmat (dues analítiques),false
DAMP-2020-12-28,AMPOSTA,171,56036,55270,,,3236,0,,false
DAMP-2021-01-04,AMPOSTA,143,133290,112035,,,3333,0,,false
DAMP-2021-01-11,AMPOSTA,171,230657,321126,,,3212,0,,false
DAMP-2021-01-18,AMPOSTA,143,45704,82808,,,3165,0,,false
DAMP-2021-01-25,AMPOSTA,171,51518,20294,,,3163,0,,false
DAMP-2021-02-01,AMPOSTA,143,2048,15822,,,3246,0,,false
DAMP-2021-02-08,AMPOSTA,171,17015,1991,,,3303,0,,false
DAMP-2021-02-15,AMPOSTA,143,8965,143,,,3517,0,,false
DAMP-2021-02-23,AMPOSTA,171,15018,171,,,,,,false
DAMP-2021-03-01,AMPOSTA,143,143,2143,,,3067,0,,false
DAMP-2021-03-08,AMPOSTA,171,768,171,,,5473,0,,false
DAMP-2021-03-15,AMPOSTA,143,507,143,,,3076,0,,true
DAMP-2021-03-22,AMPOSTA,171,171,171,,,3093,0,,false
DAMP-2021-03-29,AMPOSTA,464,464,464,,,3046,0,,false
DAMP-2021-04-05,AMPOSTA,171,43740,22817,,,3037,0,,false
DAMP-2021-04-12,AMPOSTA,464,37981,32261,,,3224,0,,false
DAMP-2021-04-19,AMPOSTA,171,7086,868,,,3744,0,,false
DAMP-2021-04-26,AMPOSTA,143,14151,1595,,,5552,0,,false
DAMP-2021-05-03,AMPOSTA,440,36695,3420,,,4198,0,,false
DAMP-2021-05-10,AMPOSTA,200,200,200,,,4957,0,,false
DAMP-2021-05-17,AMPOSTA,285,1729,5288,,,3740,0,,false
DAMP-2021-05-24,AMPOSTA,200,2612,10397,,,4037,0,,false
DAMP-2021-05-31,AMPOSTA,250,250,250,,,3916,0,,false
DAMP-2021-06-07,AMPOSTA,216,2443,2253,,,4061,0,,false
DAMP-2021-06-14,AMPOSTA,200,6527,200,,,3629,0,,false
DAMP-2021-06-21,AMPOSTA,200,200,2187,,,502,0,,true
DAMP-2021-06-28,AMPOSTA,200,3896,16979,,,3707,0,,false
DAMP-2021-07-05,AMPOSTA,208,4016,2087,,,3630,0,,false
DAMP-2021-07-12,AMPOSTA,384,13691,2035,,,3599,0,Canvi metodològic,false
DAMP-2021-07-19,AMPOSTA,320,68946,46511,,,3727,0,,false
DAMP-2021-07-26,AMPOSTA,392,14724,32615,,,5605,0,,false
DAMP-2021-08-02,AMPOSTA,344,19431,6555,,,3910,0,,false
DAMP-2021-08-09,AMPOSTA,392,26588,10011,,,4138,0,,false
DAMP-2021-08-16,AMPOSTA,312,3634,312,,,4246,0,,false
DAMP-2021-08-23,AMPOSTA,312,61306,312,,,5104,0,,false
DAMP-2021-08-30,AMPOSTA,312,13792,15361,,,4356,0,,false
DAMP-2021-09-06,AMPOSTA,336,848,336,,,4118,0,,true
DAMP-2021-09-13,AMPOSTA,800,9038,800,,,4418,0,,false
DAMP-2021-09-20,AMPOSTA,352,352,352,,,4719,0,,false
DAMP-2021-09-30,AMPOSTA,432,5809,432,,,,,,false
DAMP-2021-10-04,AMPOSTA,384,13445,680,,,4341,0,,false
DAMP-2021-10-12,AMPOSTA,400,10326,24339,,,,,,false
DAMP-2021-10-18,AMPOSTA,376,8552,13042,,,1705,0,,false
DAMP-2021-10-26,AMPOSTA,344,1354,747,,,,,,false
DAMP-2021-11-02,AMPOSTA,384,2721,5461,,,3421,0,,false
DAMP-2021-11-08,AMPOSTA,352,1039,1213,,,3320,0,,false
DAMP-2021-11-15,AMPOSTA,352,20477,352,,,3373,0,,false
DAMP-2021-11-22,AMPOSTA,376,5854,2674,,,5397,0,,false
DAMP-2021-11-29,AMPOSTA,312,18335,47500,,,3314,0,,false
DAMP-2021-12-08,AMPOSTA,376,3158,5535,,,3779,0,,false
DAMP-2021-12-13,AMPOSTA,280,122906,219416,,,3795,0,,false
DAMP-2021-12-20,AMPOSTA,360,106240,89454,,,3340,0,,false
DAMP-2021-12-27,AMPOSTA,328,145215,195774,,,3787,0,,false
DAMP-2022-01-03,AMPOSTA,360,49700,69121,,,3207,0,,false
DAMP-2022-01-10,AMPOSTA,376,383079,393340,,,3348,0,,false
DAMP-2022-01-17,AMPOSTA,392,121298,196050,,,3415,0,,false
DAMP-2022-01-24,AMPOSTA,400,152247,130918,,,3325,0,,false
DAMP-2022-01-31,AMPOSTA,320,214149,554920,,,3309,0,,false
DAMP-2022-02-07,AMPOSTA,832,243205,804257,,,3406,0,,false
DAMP-2022-02-14,AMPOSTA,336,18981,32518,,,3515,0,,false
DAMP-2022-02-21,AMPOSTA,216,11549,37439,,,3345,0,,false
DBAL-2020-07-06,BALAGUER,450,450,,,450,7294,0,,false
DBAL-2020-07-13,BALAGUER,450,4381,,,17741,7514,7,,false
DBAL-2020-07-20,BALAGUER,420,13367,,,420,7063,0,,false
DBAL-2020-07-27,BALAGUER,360,13709,360,,,7474,0,Valor Puntual,false
